"variable","value","total","perc_of_total","choice_code","label_en","label_ne","name_in_xlsforrm"
"b_empl_trsm_major_districts","22",102,"1",403,"Doti","डोटी",NA
"b_empl_trsm_major_districts","23",49,"0.480392",404,"Gorkha","गोरखा",NA
"b_empl_trsm_major_districts","24",100,"0.980392",405,"Gulmi","गुल्मी",NA
"b_empl_trsm_major_districts","25",89,"0.872549",406,"Humla","हुम्ला",NA
"b_empl_trsm_major_districts","26",95,"0.931373",407,"Ilam","इलाम",NA
"b_empl_trsm_major_districts","27",97,"0.95098",408,"Jajarkot","जाजरकोट",NA
"b_empl_trsm_major_districts","28",100,"0.980392",409,"Jhapa","झापा",NA
"b_empl_trsm_major_districts","29",93,"0.911765",410,"Jumla","जुम्ला",NA
"b_empl_trsm_major_districts","30",101,"0.990196",411,"Kailali","कैलाली",NA
"b_empl_trsm_major_districts","31",99,"0.970588",412,"Kalikot","कालिकोट",NA
"b_empl_trsm_major_districts","32",102,"1",413,"Kanchanpur","कंचनपुर",NA
"b_empl_trsm_major_districts","33",95,"0.931373",414,"Kapilbastu","कपिलवस्तु",NA
"b_empl_trsm_major_districts","34",41,"0.401961",415,"Kaski","कास्की",NA
"b_empl_trsm_major_districts","35",58,"0.568627",416,"Kathmandu","काठमाडौँ",NA
"b_empl_trsm_major_districts","36",94,"0.921569",417,"Kavrepalanchok","काभ्रेपलान्चोक",NA
"b_empl_trsm_major_districts","37",101,"0.990196",418,"Khotang","खोटाँग",NA
"b_empl_trsm_major_districts","38",87,"0.852941",419,"Lalitpur","ललितपुर",NA
"b_empl_trsm_major_districts","39",82,"0.803922",420,"Lamjung","लमजुङ",NA
"b_empl_trsm_major_districts","40",101,"0.990196",421,"Mahottari","महोत्तरी",NA
"b_empl_trsm_major_districts","41",102,"1",422,"Makwanpur","मकवानपुर",NA
"b_empl_trsm_major_districts","42",42,"0.411765",423,"Manang","मनाङ",NA
"b_empl_trsm_major_districts","43",100,"0.980392",424,"Morang","मोरंग",NA
"b_empl_trsm_major_districts","44",88,"0.862745",425,"Mugu","मुगु",NA
"b_empl_trsm_major_districts","45",47,"0.460784",426,"Mustang","मुस्ताङ",NA
"b_empl_trsm_major_districts","46",73,"0.715686",427,"Myagdi","म्याग्दी",NA
"b_empl_trsm_major_districts","47",102,"1",428,"Nawalpur","नवलपुर",NA
"b_empl_trsm_major_districts","48",102,"1",429,"Parasi","परासी",NA
"b_empl_trsm_major_districts","49",90,"0.882353",430,"Nuwakot","नुवाकोट",NA
"b_empl_trsm_major_districts","50",96,"0.941176",431,"Okhaldhunga","ओखलढुंगा",NA
"b_empl_trsm_major_districts","51",98,"0.960784",432,"Palpa","पाल्पा",NA
"b_empl_trsm_major_districts","52",101,"0.990196",433,"Panchthar","पांचथर",NA
"b_empl_trsm_major_districts","53",101,"0.990196",434,"Parbat","पर्वत",NA
"b_empl_trsm_major_districts","54",102,"1",435,"Parsa","पर्सा",NA
"b_empl_trsm_major_districts","55",102,"1",436,"Pyuthan","प्युठान",NA
"b_empl_trsm_major_districts","56",93,"0.911765",437,"Ramechhap","रामेछाप",NA
"b_empl_trsm_major_districts","57",48,"0.470588",438,"Rasuwa","रसुवा",NA
"b_empl_trsm_major_districts","58",101,"0.990196",439,"Rautahat","रौतहट",NA
"b_empl_trsm_major_districts","59",98,"0.960784",440,"Rolpa","रोल्पा",NA
"b_empl_trsm_major_districts","60",96,"0.941176",441,"Rukum East","पूर्वी रूकुम",NA
"b_empl_trsm_major_districts","61",97,"0.95098",442,"Rukum West","पश्चिमी रूकुम",NA
"b_empl_trsm_major_districts","62",98,"0.960784",443,"Rupandehi","रुपन्देही",NA
"b_empl_trsm_major_districts","63",102,"1",444,"Salyan","सल्यान",NA
"b_empl_trsm_major_districts","64",86,"0.843137",445,"Sankhuwasabha","संखुवासभा",NA
"b_empl_trsm_major_districts","65",102,"1",446,"Saptari","सप्तरी",NA
"b_empl_trsm_major_districts","66",100,"0.980392",447,"Sarlahi","सर्लाही",NA
"b_empl_trsm_major_districts","67",99,"0.970588",448,"Sindhuli","सिन्धुली",NA
"b_empl_trsm_major_districts","68",81,"0.794118",449,"Sindhupalchok","सिन्धुपाल्चोक",NA
"b_empl_trsm_major_districts","69",102,"1",450,"Siraha","सिराहा",NA
"b_empl_trsm_major_districts","70",25,"0.245098",451,"Solukhumbu","सोलुखुम्बू",NA
"b_empl_trsm_major_districts","71",101,"0.990196",452,"Sunsari","सुनसरी",NA
"b_empl_trsm_major_districts","72",101,"0.990196",453,"Surkhet","सुर्खेत",NA
"b_empl_trsm_major_districts","73",99,"0.970588",454,"Syangja","स्याङग्जा",NA
"b_empl_trsm_major_districts","74",95,"0.931373",455,"Tanahu","तनहुँ",NA
"b_empl_trsm_major_districts","75",81,"0.794118",456,"Taplejung","ताप्लेजुंग",NA
"b_empl_trsm_major_districts","76",98,"0.960784",457,"Terhathum","तेह्रथुम",NA
"b_empl_trsm_major_districts","77",102,"1",458,"Udayapur","उदयपुर",NA
"b_empl_occpatn_pre_covid","1",102,"1",459,NA,"पसले (पसलमा काम गर्ने)",NA
"b_empl_occpatn_pre_covid","2",90,"0.882353",460,NA,"टूर गाईड",NA
"b_empl_occpatn_pre_covid","3",29,"0.284314",461,NA,"ट्रेकिंग गाईड",NA
"b_empl_occpatn_pre_covid","4",98,"0.960784",462,NA,"राफ्टिंग गाईड",NA
"b_empl_occpatn_pre_covid","5",79,"0.77451",463,NA,"माउन्टेन गाईड",NA
"b_empl_occpatn_pre_covid","6",100,"0.980392",464,NA,"ड्राइभर",NA
"b_empl_occpatn_pre_covid","7",102,"1",465,NA,"ट्राभेल एजेन्ट",NA
"b_empl_occpatn_pre_covid","8",101,"0.990196",466,NA,"फ्लाइट अटेन्डेंट",NA
"b_empl_occpatn_pre_covid","9",102,"1",467,NA,"पाइलट",NA
"b_empl_occpatn_pre_covid","10",101,"0.990196",468,NA,"शेफ / कुक",NA
"b_empl_occpatn_pre_covid","11",102,"1",469,NA,"होटेल म्यानेजर",NA
"b_empl_occpatn_pre_covid","12",101,"0.990196",470,NA,"होटेल स्टाफ",NA
"b_empl_occpatn_pre_covid","13",101,"0.990196",471,NA,"वेटर",NA
"b_empl_occpatn_pre_covid","14",102,"1",472,NA,"बार टेण्डर",NA
"b_empl_occpatn_pre_covid","15",99,"0.970588",473,NA,"पोर्टर (भरिया)",NA
"b_empl_occpatn_pre_covid","16",97,"0.95098",474,NA,"अन्य",NA
