"variable","value","total","perc_of_total","label_ne","label_en","choice_code","variable_group"
"i_empl_covid_effects","7",173,"0.901042","अन्य समस्या भोग्नुपर्यो","Other",355,"Impact"
"i_empl_covid_effects","8",189,"0.984375","केहि भोग्नुपरेन","No effect",356,"Impact"
"i_econ_covid_effects","1",142,"0.739583","पैसा सापटी लिनुपर्यो (बैंक वा अन्य वित्तीय संस्थाबाट)","Loan through financial institutions",358,"Impact"
"i_econ_covid_effects","2",38,"0.197917","पैसा सापटी लिनुपर्यो (साथीभाइ वा आफन्तीबाट)","Loan through friends and family",359,"Impact"
"i_econ_covid_effects","3",150,"0.78125","परिवारमा कसैको शिक्षा रोक्नुपर्यो","Stopped education of a family member",360,"Impact"
"i_econ_covid_effects","4",164,"0.854167","परिवारमा कसैको स्वास्थ्य सम्बन्धि सेवा रोक्नुपर्यो","Stopped health services for family members",361,"Impact"
"i_econ_covid_effects","5",147,"0.765625","गहना, टी.भी., फ्रिज, मोटरसाइकल, गाडी जस्ता सामानहरू बेच्नुपर्यो (घराएसी प्रयोजनको सामान)","Sold personal assets",362,"Impact"
"i_econ_covid_effects","6",177,"0.921875","आफ्नो रोजगारको लागि आवश्यक पर्ने सामान जस्तै क्यामेरा, आदि बेच्नुपर्यो","Sold professional assets (camera, etc.)",363,"Impact"
"i_econ_covid_effects","7",177,"0.921875","घर-जग्गा बेच्नुपर्यो","Sold land or property",364,"Impact"
"i_econ_covid_effects","8",177,"0.921875","अन्य समस्या भोग्नुपर्यो","Other",365,"Impact"
"i_econ_covid_effects","9",184,"0.958333","केहि भोग्नुपरेन","No effect",366,"Impact"
"b_empl_wrk_type","1",65,"0.338542","मौसमी काम (seasonal work)","Seasonal work",368,"Impact"
"b_empl_wrk_type","2",150,"0.78125","दैनिकी ज्याला / ज्यालादारी काम (daily wages)","Daily wages",369,"Impact"
"b_empl_wrk_type","3",137,"0.713542","मासिक तलब आउने काम (monthly salary)","Monthly salary",370,"Impact"
"b_empl_wrk_type","4",189,"0.984375","अन्य","Other",371,"Impact"
"b_empl_trsm_org","1",180,"0.9375","ANTWU","ANTWU",373,"Baseline"
"b_empl_trsm_org","2",176,"0.916667","NIHWU","NIHWU",374,"Baseline"
"b_empl_trsm_org","3",118,"0.614583","NITWOG","NITWOG",375,"Baseline"
"b_empl_trsm_org","4",190,"0.989583","NSPWTU","NSPWTU",376,"Baseline"
"b_empl_trsm_org","5",180,"0.9375","NTWU","NTWU",377,"Baseline"
"b_empl_trsm_org","6",192,"1","RTWUN","RTWUN",378,"Baseline"
"b_empl_trsm_org","7",167,"0.869792","UNITRAV","UNITRAV",379,"Baseline"
"b_empl_trsm_org","8",132,"0.6875","अन्य","अन्य",380,"Baseline"
"b_empl_trsm_major_districts","1",191,"0.994792","अछाम","Achham",382,"Baseline"
"b_empl_trsm_major_districts","2",191,"0.994792","अर्घाखाँची","Arghakhanchi",383,"Baseline"
"b_empl_trsm_major_districts","3",185,"0.963542","बागलुङ","Baglung",384,"Baseline"
"b_empl_trsm_major_districts","4",191,"0.994792","बैतडी","Baitadi",385,"Baseline"
"b_empl_trsm_major_districts","5",188,"0.979167","बझाङ","Bajhang",386,"Baseline"
"b_empl_trsm_major_districts","6",191,"0.994792","बाजुरा","Bajura",387,"Baseline"
"b_empl_trsm_major_districts","7",189,"0.984375","बाँके","Banke",388,"Baseline"
"b_empl_trsm_major_districts","8",191,"0.994792","बारा","Bara",389,"Baseline"
"b_empl_trsm_major_districts","9",185,"0.963542","बर्दिया","Bardiya",390,"Baseline"
"b_empl_trsm_major_districts","10",159,"0.828125","भक्तपुर","Bhaktapur",391,"Baseline"
"b_empl_trsm_major_districts","11",187,"0.973958","भोजपुर","Bhojpur",392,"Baseline"
"b_empl_trsm_major_districts","12",144,"0.75","चितवन","Chitawan",393,"Baseline"
"b_empl_trsm_major_districts","13",190,"0.989583","डडेलधुरा","Dadeldhura",394,"Baseline"
"b_empl_trsm_major_districts","14",189,"0.984375","दैलेख","Dailekh",395,"Baseline"
"b_empl_trsm_major_districts","15",191,"0.994792","दाङ","Dang",396,"Baseline"
"b_empl_trsm_major_districts","16",187,"0.973958","दार्चुला","Darchula",397,"Baseline"
"b_empl_trsm_major_districts","17",169,"0.880208","धादिङ","Dhading",398,"Baseline"
"b_empl_trsm_major_districts","18",188,"0.979167","धनकुटा","Dhankuta",399,"Baseline"
"b_empl_trsm_major_districts","19",190,"0.989583","धनुषा","Dhanusa",400,"Baseline"
"b_empl_trsm_major_districts","20",161,"0.838542","दोलखा","Dolakha",401,"Baseline"
"b_empl_trsm_major_districts","21",158,"0.822917","डोल्पा","Dolpa",402,"Baseline"
"b_empl_trsm_major_districts","22",191,"0.994792","डोटी","Doti",403,"Baseline"
"b_empl_trsm_major_districts","23",119,"0.619792","गोरखा","Gorkha",404,"Baseline"
"b_empl_trsm_major_districts","24",189,"0.984375","गुल्मी","Gulmi",405,"Baseline"
"b_empl_trsm_major_districts","25",175,"0.911458","हुम्ला","Humla",406,"Baseline"
"b_empl_trsm_major_districts","26",177,"0.921875","इलाम","Ilam",407,"Baseline"
"b_empl_trsm_major_districts","27",185,"0.963542","जाजरकोट","Jajarkot",408,"Baseline"
"b_empl_trsm_major_districts","28",188,"0.979167","झापा","Jhapa",409,"Baseline"
"b_empl_trsm_major_districts","29",179,"0.932292","जुम्ला","Jumla",410,"Baseline"
"b_empl_trsm_major_districts","30",190,"0.989583","कैलाली","Kailali",411,"Baseline"
"b_empl_trsm_major_districts","31",187,"0.973958","कालिकोट","Kalikot",412,"Baseline"
"b_empl_trsm_major_districts","32",191,"0.994792","कंचनपुर","Kanchanpur",413,"Baseline"
"b_empl_trsm_major_districts","33",177,"0.921875","कपिलवस्तु","Kapilbastu",414,"Baseline"
"b_empl_trsm_major_districts","34",83,"0.432292","कास्की","Kaski",415,"Baseline"
"b_empl_trsm_major_districts","35",96,"0.5","काठमाडौँ","Kathmandu",416,"Baseline"
"b_empl_trsm_major_districts","36",174,"0.90625","काभ्रेपलान्चोक","Kavrepalanchok",417,"Baseline"
"b_empl_trsm_major_districts","37",189,"0.984375","खोटाँग","Khotang",418,"Baseline"
"b_empl_trsm_major_districts","38",159,"0.828125","ललितपुर","Lalitpur",419,"Baseline"
"b_empl_trsm_major_districts","39",152,"0.791667","लमजुङ","Lamjung",420,"Baseline"
"b_empl_trsm_major_districts","40",190,"0.989583","महोत्तरी","Mahottari",421,"Baseline"
"b_empl_trsm_major_districts","41",189,"0.984375","मकवानपुर","Makwanpur",422,"Baseline"
"b_empl_trsm_major_districts","42",107,"0.557292","मनाङ","Manang",423,"Baseline"
"b_empl_trsm_major_districts","43",188,"0.979167","मोरंग","Morang",424,"Baseline"
"b_empl_trsm_major_districts","44",172,"0.895833","मुगु","Mugu",425,"Baseline"
"b_empl_trsm_major_districts","45",108,"0.5625","मुस्ताङ","Mustang",426,"Baseline"
"b_empl_trsm_major_districts","46",144,"0.75","म्याग्दी","Myagdi",427,"Baseline"
"b_empl_trsm_major_districts","47",190,"0.989583","नवलपुर","Nawalpur",428,"Baseline"
"b_empl_trsm_major_districts","48",189,"0.984375","परासी","Parasi",429,"Baseline"
"b_empl_trsm_major_districts","49",171,"0.890625","नुवाकोट","Nuwakot",430,"Baseline"
"b_empl_trsm_major_districts","50",181,"0.942708","ओखलढुंगा","Okhaldhunga",431,"Baseline"
"b_empl_trsm_major_districts","51",185,"0.963542","पाल्पा","Palpa",432,"Baseline"
"b_empl_trsm_major_districts","52",189,"0.984375","पांचथर","Panchthar",433,"Baseline"
"b_empl_trsm_major_districts","53",183,"0.953125","पर्वत","Parbat",434,"Baseline"
"b_empl_trsm_major_districts","54",189,"0.984375","पर्सा","Parsa",435,"Baseline"
"b_empl_trsm_major_districts","55",191,"0.994792","प्युठान","Pyuthan",436,"Baseline"
"b_empl_trsm_major_districts","56",178,"0.927083","रामेछाप","Ramechhap",437,"Baseline"
"b_empl_trsm_major_districts","57",119,"0.619792","रसुवा","Rasuwa",438,"Baseline"
"b_empl_trsm_major_districts","58",190,"0.989583","रौतहट","Rautahat",439,"Baseline"
"b_empl_trsm_major_districts","59",185,"0.963542","रोल्पा","Rolpa",440,"Baseline"
"b_empl_trsm_major_districts","60",183,"0.953125","पूर्वी रूकुम","Rukum East",441,"Baseline"
"b_empl_trsm_major_districts","61",183,"0.953125","पश्चिमी रूकुम","Rukum West",442,"Baseline"
"b_empl_trsm_major_districts","62",184,"0.958333","रुपन्देही","Rupandehi",443,"Baseline"
"b_empl_trsm_major_districts","63",191,"0.994792","सल्यान","Salyan",444,"Baseline"
"b_empl_trsm_major_districts","64",170,"0.885417","संखुवासभा","Sankhuwasabha",445,"Baseline"
"b_empl_trsm_major_districts","65",191,"0.994792","सप्तरी","Saptari",446,"Baseline"
"b_empl_trsm_major_districts","66",189,"0.984375","सर्लाही","Sarlahi",447,"Baseline"
"b_empl_trsm_major_districts","67",186,"0.96875","सिन्धुली","Sindhuli",448,"Baseline"
"b_empl_trsm_major_districts","68",159,"0.828125","सिन्धुपाल्चोक","Sindhupalchok",449,"Baseline"
"b_empl_trsm_major_districts","69",191,"0.994792","सिराहा","Siraha",450,"Baseline"
"b_empl_trsm_major_districts","70",94,"0.489583","सोलुखुम्बू","Solukhumbu",451,"Baseline"
"b_empl_trsm_major_districts","71",190,"0.989583","सुनसरी","Sunsari",452,"Baseline"
"b_empl_trsm_major_districts","72",190,"0.989583","सुर्खेत","Surkhet",453,"Baseline"
"b_empl_trsm_major_districts","73",182,"0.947917","स्याङग्जा","Syangja",454,"Baseline"
"b_empl_trsm_major_districts","74",177,"0.921875","तनहुँ","Tanahu",455,"Baseline"
"b_empl_trsm_major_districts","75",161,"0.838542","ताप्लेजुंग","Taplejung",456,"Baseline"
"b_empl_trsm_major_districts","76",185,"0.963542","तेह्रथुम","Terhathum",457,"Baseline"
"b_empl_trsm_major_districts","77",190,"0.989583","उदयपुर","Udayapur",458,"Baseline"
"b_empl_occpatn_pre_covid","1",192,"1","पसले (पसलमा काम गर्ने)","Shopkeeper",459,"Impact"
"b_empl_occpatn_pre_covid","2",165,"0.859375","टूर गाईड","Tour guide",460,"Impact"
"b_empl_occpatn_pre_covid","3",86,"0.447917","ट्रेकिंग गाईड","Trekking guide",461,"Impact"
"b_empl_occpatn_pre_covid","4",184,"0.958333","राफ्टिंग गाईड","Rafting guide",462,"Impact"
"b_empl_occpatn_pre_covid","5",166,"0.864583","माउन्टेन गाईड","Mountain guide",463,"Impact"
"b_empl_occpatn_pre_covid","6",189,"0.984375","ड्राइभर","Driver",464,"Impact"
"b_empl_occpatn_pre_covid","7",185,"0.963542","ट्राभेल एजेन्ट","Travel agent",465,"Impact"
"b_empl_occpatn_pre_covid","8",191,"0.994792","फ्लाइट अटेन्डेंट","Flight attendant",466,"Impact"
"b_empl_occpatn_pre_covid","9",191,"0.994792","पाइलट","Pilot",467,"Impact"
"b_empl_occpatn_pre_covid","10",181,"0.942708","शेफ / कुक","Chef / cook",468,"Impact"
"b_empl_occpatn_pre_covid","11",189,"0.984375","होटेल म्यानेजर","Hotel manager",469,"Impact"
"b_empl_occpatn_pre_covid","12",176,"0.916667","होटेल स्टाफ","Hotel staff",470,"Impact"
"b_empl_occpatn_pre_covid","13",188,"0.979167","वेटर","Waiter",471,"Impact"
"b_empl_occpatn_pre_covid","14",189,"0.984375","बार टेण्डर","Bartender",472,"Impact"
"b_empl_occpatn_pre_covid","15",188,"0.979167","पोर्टर (भरिया)","Porter",473,"Impact"
"b_empl_occpatn_pre_covid","16",177,"0.921875","अन्य","Other",474,"Impact"
