"variable","value","total","perc_of_total","label_ne","label_en"
"b_empl_trsm_major_districts","65",107,"1","सप्तरी","Saptari"
"b_empl_trsm_major_districts","66",105,"0.981308","सर्लाही","Sarlahi"
"b_empl_trsm_major_districts","67",104,"0.971963","सिन्धुली","Sindhuli"
"b_empl_trsm_major_districts","68",86,"0.803738","सिन्धुपाल्चोक","Sindhupalchok"
"b_empl_trsm_major_districts","69",107,"1","सिराहा","Siraha"
"b_empl_trsm_major_districts","70",28,"0.261682","सोलुखुम्बू","Solukhumbu"
"b_empl_trsm_major_districts","71",106,"0.990654","सुनसरी","Sunsari"
"b_empl_trsm_major_districts","72",106,"0.990654","सुर्खेत","Surkhet"
"b_empl_trsm_major_districts","73",104,"0.971963","स्याङग्जा","Syangja"
"b_empl_trsm_major_districts","74",100,"0.934579","तनहुँ","Tanahu"
"b_empl_trsm_major_districts","75",85,"0.794393","ताप्लेजुंग","Taplejung"
"b_empl_trsm_major_districts","76",103,"0.962617","तेह्रथुम","Terhathum"
"b_empl_trsm_major_districts","77",107,"1","उदयपुर","Udayapur"
"b_empl_occpatn_pre_covid","1",107,"1","पसले (पसलमा काम गर्ने)",NA
"b_empl_occpatn_pre_covid","2",95,"0.88785","टूर गाईड",NA
"b_empl_occpatn_pre_covid","3",31,"0.28972","ट्रेकिंग गाईड",NA
"b_empl_occpatn_pre_covid","4",103,"0.962617","राफ्टिंग गाईड",NA
"b_empl_occpatn_pre_covid","5",84,"0.785047","माउन्टेन गाईड",NA
"b_empl_occpatn_pre_covid","6",105,"0.981308","ड्राइभर",NA
"b_empl_occpatn_pre_covid","7",107,"1","ट्राभेल एजेन्ट",NA
"b_empl_occpatn_pre_covid","8",106,"0.990654","फ्लाइट अटेन्डेंट",NA
"b_empl_occpatn_pre_covid","9",107,"1","पाइलट",NA
"b_empl_occpatn_pre_covid","10",105,"0.981308","शेफ / कुक",NA
"b_empl_occpatn_pre_covid","11",107,"1","होटेल म्यानेजर",NA
"b_empl_occpatn_pre_covid","12",106,"0.990654","होटेल स्टाफ",NA
"b_empl_occpatn_pre_covid","13",106,"0.990654","वेटर",NA
"b_empl_occpatn_pre_covid","14",107,"1","बार टेण्डर",NA
"b_empl_occpatn_pre_covid","15",104,"0.971963","पोर्टर (भरिया)",NA
"b_empl_occpatn_pre_covid","16",101,"0.943925","अन्य",NA
