"variable","value","total","perc_of_total","choice_code","label_ne","label_en","variable_group"
"i_empl_covid_effects","6",174,"0.915789",354,"कामको लागि आवश्यक लाइसेन्स (license), परमिट (permit) आदि लिन / नवीकारण गर्न पाइएन","Couldn't renew licences and permits","Impact"
"i_empl_covid_effects","7",172,"0.905263",355,"अन्य समस्या भोग्नुपर्यो","Other","Impact"
"i_empl_covid_effects","8",187,"0.984211",356,"केहि भोग्नुपरेन","No effect","Impact"
"i_econ_covid_effects","1",140,"0.736842",358,"पैसा सापटी लिनुपर्यो (बैंक वा अन्य वित्तीय संस्थाबाट)","Loan through financial institutions","Impact"
"i_econ_covid_effects","2",38,"0.2",359,"पैसा सापटी लिनुपर्यो (साथीभाइ वा आफन्तीबाट)","Loan through friends and family","Impact"
"i_econ_covid_effects","3",149,"0.784211",360,"परिवारमा कसैको शिक्षा रोक्नुपर्यो","Stopped education of a family member","Impact"
"i_econ_covid_effects","4",163,"0.857895",361,"परिवारमा कसैको स्वास्थ्य सम्बन्धि सेवा रोक्नुपर्यो","Stopped health services for family members","Impact"
"i_econ_covid_effects","5",146,"0.768421",362,"गहना, टी.भी., फ्रिज, मोटरसाइकल, गाडी जस्ता सामानहरू बेच्नुपर्यो (घराएसी प्रयोजनको सामान)","Sold personal assets","Impact"
"i_econ_covid_effects","6",176,"0.926316",363,"आफ्नो रोजगारको लागि आवश्यक पर्ने सामान जस्तै क्यामेरा, आदि बेच्नुपर्यो","Sold professional assets (camera, etc.)","Impact"
"i_econ_covid_effects","7",175,"0.921053",364,"घर-जग्गा बेच्नुपर्यो","Sold land or property","Impact"
"i_econ_covid_effects","8",176,"0.926316",365,"अन्य समस्या भोग्नुपर्यो","Other","Impact"
"i_econ_covid_effects","9",182,"0.957895",366,"केहि भोग्नुपरेन","No effect","Impact"
"b_empl_wrk_type","1",65,"0.342105",368,"मौसमी काम (seasonal work)","Seasonal work","Impact"
"b_empl_wrk_type","2",150,"0.789474",369,"दैनिकी ज्याला / ज्यालादारी काम (daily wages)","Daily wages","Impact"
"b_empl_wrk_type","3",135,"0.710526",370,"मासिक तलब आउने काम (monthly salary)","Monthly salary","Impact"
"b_empl_wrk_type","4",187,"0.984211",371,"अन्य","Other","Impact"
"b_empl_trsm_org","1",178,"0.936842",373,"ANTWU","ANTWU","Baseline"
"b_empl_trsm_org","2",174,"0.915789",374,"NIHWU","NIHWU","Baseline"
"b_empl_trsm_org","3",116,"0.610526",375,"NITWOG","NITWOG","Baseline"
"b_empl_trsm_org","4",188,"0.989474",376,"NSPWTU","NSPWTU","Baseline"
"b_empl_trsm_org","5",178,"0.936842",377,"NTWU","NTWU","Baseline"
"b_empl_trsm_org","6",190,"1",378,"RTWUN","RTWUN","Baseline"
"b_empl_trsm_org","7",165,"0.868421",379,"UNITRAV","UNITRAV","Baseline"
"b_empl_trsm_org","8",132,"0.694737",380,"अन्य","अन्य","Baseline"
"b_empl_trsm_major_districts","1",189,"0.994737",382,"अछाम","Achham","Baseline"
"b_empl_trsm_major_districts","2",189,"0.994737",383,"अर्घाखाँची","Arghakhanchi","Baseline"
"b_empl_trsm_major_districts","3",183,"0.963158",384,"बागलुङ","Baglung","Baseline"
"b_empl_trsm_major_districts","4",189,"0.994737",385,"बैतडी","Baitadi","Baseline"
"b_empl_trsm_major_districts","5",186,"0.978947",386,"बझाङ","Bajhang","Baseline"
"b_empl_trsm_major_districts","6",189,"0.994737",387,"बाजुरा","Bajura","Baseline"
"b_empl_trsm_major_districts","7",188,"0.989474",388,"बाँके","Banke","Baseline"
"b_empl_trsm_major_districts","8",189,"0.994737",389,"बारा","Bara","Baseline"
"b_empl_trsm_major_districts","9",184,"0.968421",390,"बर्दिया","Bardiya","Baseline"
"b_empl_trsm_major_districts","10",157,"0.826316",391,"भक्तपुर","Bhaktapur","Baseline"
"b_empl_trsm_major_districts","11",185,"0.973684",392,"भोजपुर","Bhojpur","Baseline"
"b_empl_trsm_major_districts","12",143,"0.752632",393,"चितवन","Chitawan","Baseline"
"b_empl_trsm_major_districts","13",188,"0.989474",394,"डडेलधुरा","Dadeldhura","Baseline"
"b_empl_trsm_major_districts","14",188,"0.989474",395,"दैलेख","Dailekh","Baseline"
"b_empl_trsm_major_districts","15",189,"0.994737",396,"दाङ","Dang","Baseline"
"b_empl_trsm_major_districts","16",185,"0.973684",397,"दार्चुला","Darchula","Baseline"
"b_empl_trsm_major_districts","17",168,"0.884211",398,"धादिङ","Dhading","Baseline"
"b_empl_trsm_major_districts","18",186,"0.978947",399,"धनकुटा","Dhankuta","Baseline"
"b_empl_trsm_major_districts","19",188,"0.989474",400,"धनुषा","Dhanusa","Baseline"
"b_empl_trsm_major_districts","20",159,"0.836842",401,"दोलखा","Dolakha","Baseline"
"b_empl_trsm_major_districts","21",156,"0.821053",402,"डोल्पा","Dolpa","Baseline"
"b_empl_trsm_major_districts","22",189,"0.994737",403,"डोटी","Doti","Baseline"
"b_empl_trsm_major_districts","23",118,"0.621053",404,"गोरखा","Gorkha","Baseline"
"b_empl_trsm_major_districts","24",187,"0.984211",405,"गुल्मी","Gulmi","Baseline"
"b_empl_trsm_major_districts","25",173,"0.910526",406,"हुम्ला","Humla","Baseline"
"b_empl_trsm_major_districts","26",176,"0.926316",407,"इलाम","Ilam","Baseline"
"b_empl_trsm_major_districts","27",183,"0.963158",408,"जाजरकोट","Jajarkot","Baseline"
"b_empl_trsm_major_districts","28",186,"0.978947",409,"झापा","Jhapa","Baseline"
"b_empl_trsm_major_districts","29",178,"0.936842",410,"जुम्ला","Jumla","Baseline"
"b_empl_trsm_major_districts","30",188,"0.989474",411,"कैलाली","Kailali","Baseline"
"b_empl_trsm_major_districts","31",185,"0.973684",412,"कालिकोट","Kalikot","Baseline"
"b_empl_trsm_major_districts","32",189,"0.994737",413,"कंचनपुर","Kanchanpur","Baseline"
"b_empl_trsm_major_districts","33",176,"0.926316",414,"कपिलवस्तु","Kapilbastu","Baseline"
"b_empl_trsm_major_districts","34",82,"0.431579",415,"कास्की","Kaski","Baseline"
"b_empl_trsm_major_districts","35",96,"0.505263",416,"काठमाडौँ","Kathmandu","Baseline"
"b_empl_trsm_major_districts","36",172,"0.905263",417,"काभ्रेपलान्चोक","Kavrepalanchok","Baseline"
"b_empl_trsm_major_districts","37",187,"0.984211",418,"खोटाँग","Khotang","Baseline"
"b_empl_trsm_major_districts","38",159,"0.836842",419,"ललितपुर","Lalitpur","Baseline"
"b_empl_trsm_major_districts","39",151,"0.794737",420,"लमजुङ","Lamjung","Baseline"
"b_empl_trsm_major_districts","40",188,"0.989474",421,"महोत्तरी","Mahottari","Baseline"
"b_empl_trsm_major_districts","41",187,"0.984211",422,"मकवानपुर","Makwanpur","Baseline"
"b_empl_trsm_major_districts","42",107,"0.563158",423,"मनाङ","Manang","Baseline"
"b_empl_trsm_major_districts","43",186,"0.978947",424,"मोरंग","Morang","Baseline"
"b_empl_trsm_major_districts","44",171,"0.9",425,"मुगु","Mugu","Baseline"
"b_empl_trsm_major_districts","45",107,"0.563158",426,"मुस्ताङ","Mustang","Baseline"
"b_empl_trsm_major_districts","46",142,"0.747368",427,"म्याग्दी","Myagdi","Baseline"
"b_empl_trsm_major_districts","47",188,"0.989474",428,"नवलपुर","Nawalpur","Baseline"
"b_empl_trsm_major_districts","48",187,"0.984211",429,"परासी","Parasi","Baseline"
"b_empl_trsm_major_districts","49",170,"0.894737",430,"नुवाकोट","Nuwakot","Baseline"
"b_empl_trsm_major_districts","50",179,"0.942105",431,"ओखलढुंगा","Okhaldhunga","Baseline"
"b_empl_trsm_major_districts","51",183,"0.963158",432,"पाल्पा","Palpa","Baseline"
"b_empl_trsm_major_districts","52",187,"0.984211",433,"पांचथर","Panchthar","Baseline"
"b_empl_trsm_major_districts","53",181,"0.952632",434,"पर्वत","Parbat","Baseline"
"b_empl_trsm_major_districts","54",188,"0.989474",435,"पर्सा","Parsa","Baseline"
"b_empl_trsm_major_districts","55",189,"0.994737",436,"प्युठान","Pyuthan","Baseline"
"b_empl_trsm_major_districts","56",176,"0.926316",437,"रामेछाप","Ramechhap","Baseline"
"b_empl_trsm_major_districts","57",117,"0.615789",438,"रसुवा","Rasuwa","Baseline"
"b_empl_trsm_major_districts","58",188,"0.989474",439,"रौतहट","Rautahat","Baseline"
"b_empl_trsm_major_districts","59",183,"0.963158",440,"रोल्पा","Rolpa","Baseline"
"b_empl_trsm_major_districts","60",181,"0.952632",441,"पूर्वी रूकुम","Rukum East","Baseline"
"b_empl_trsm_major_districts","61",181,"0.952632",442,"पश्चिमी रूकुम","Rukum West","Baseline"
"b_empl_trsm_major_districts","62",183,"0.963158",443,"रुपन्देही","Rupandehi","Baseline"
"b_empl_trsm_major_districts","63",189,"0.994737",444,"सल्यान","Salyan","Baseline"
"b_empl_trsm_major_districts","64",168,"0.884211",445,"संखुवासभा","Sankhuwasabha","Baseline"
"b_empl_trsm_major_districts","65",189,"0.994737",446,"सप्तरी","Saptari","Baseline"
"b_empl_trsm_major_districts","66",187,"0.984211",447,"सर्लाही","Sarlahi","Baseline"
"b_empl_trsm_major_districts","67",184,"0.968421",448,"सिन्धुली","Sindhuli","Baseline"
"b_empl_trsm_major_districts","68",157,"0.826316",449,"सिन्धुपाल्चोक","Sindhupalchok","Baseline"
"b_empl_trsm_major_districts","69",189,"0.994737",450,"सिराहा","Siraha","Baseline"
"b_empl_trsm_major_districts","70",92,"0.484211",451,"सोलुखुम्बू","Solukhumbu","Baseline"
"b_empl_trsm_major_districts","71",188,"0.989474",452,"सुनसरी","Sunsari","Baseline"
"b_empl_trsm_major_districts","72",188,"0.989474",453,"सुर्खेत","Surkhet","Baseline"
"b_empl_trsm_major_districts","73",180,"0.947368",454,"स्याङग्जा","Syangja","Baseline"
"b_empl_trsm_major_districts","74",175,"0.921053",455,"तनहुँ","Tanahu","Baseline"
"b_empl_trsm_major_districts","75",160,"0.842105",456,"ताप्लेजुंग","Taplejung","Baseline"
"b_empl_trsm_major_districts","76",183,"0.963158",457,"तेह्रथुम","Terhathum","Baseline"
"b_empl_trsm_major_districts","77",188,"0.989474",458,"उदयपुर","Udayapur","Baseline"
"b_empl_occpatn_pre_covid","1",190,"1",459,"पसले (पसलमा काम गर्ने)","Shopkeeper","Impact"
"b_empl_occpatn_pre_covid","2",164,"0.863158",460,"टूर गाईड","Tour guide","Impact"
"b_empl_occpatn_pre_covid","3",86,"0.452632",461,"ट्रेकिंग गाईड","Trekking guide","Impact"
"b_empl_occpatn_pre_covid","4",182,"0.957895",462,"राफ्टिंग गाईड","Rafting guide","Impact"
"b_empl_occpatn_pre_covid","5",165,"0.868421",463,"माउन्टेन गाईड","Mountain guide","Impact"
"b_empl_occpatn_pre_covid","6",187,"0.984211",464,"ड्राइभर","Driver","Impact"
"b_empl_occpatn_pre_covid","7",184,"0.968421",465,"ट्राभेल एजेन्ट","Travel agent","Impact"
"b_empl_occpatn_pre_covid","8",189,"0.994737",466,"फ्लाइट अटेन्डेंट","Flight attendant","Impact"
"b_empl_occpatn_pre_covid","9",189,"0.994737",467,"पाइलट","Pilot","Impact"
"b_empl_occpatn_pre_covid","10",179,"0.942105",468,"शेफ / कुक","Chef / cook","Impact"
"b_empl_occpatn_pre_covid","11",187,"0.984211",469,"होटेल म्यानेजर","Hotel manager","Impact"
"b_empl_occpatn_pre_covid","12",174,"0.915789",470,"होटेल स्टाफ","Hotel staff","Impact"
"b_empl_occpatn_pre_covid","13",186,"0.978947",471,"वेटर","Waiter","Impact"
"b_empl_occpatn_pre_covid","14",187,"0.984211",472,"बार टेण्डर","Bartender","Impact"
"b_empl_occpatn_pre_covid","15",186,"0.978947",473,"पोर्टर (भरिया)","Porter","Impact"
"b_empl_occpatn_pre_covid","16",175,"0.921053",474,"अन्य","Other","Impact"
