"variable","value","total","perc_of_total","label_ne","label_en"
"b_empl_trsm_major_districts","65",102,"1","सप्तरी","Saptari"
"b_empl_trsm_major_districts","66",100,"0.980392","सर्लाही","Sarlahi"
"b_empl_trsm_major_districts","67",99,"0.970588","सिन्धुली","Sindhuli"
"b_empl_trsm_major_districts","68",81,"0.794118","सिन्धुपाल्चोक","Sindhupalchok"
"b_empl_trsm_major_districts","69",102,"1","सिराहा","Siraha"
"b_empl_trsm_major_districts","70",25,"0.245098","सोलुखुम्बू","Solukhumbu"
"b_empl_trsm_major_districts","71",101,"0.990196","सुनसरी","Sunsari"
"b_empl_trsm_major_districts","72",101,"0.990196","सुर्खेत","Surkhet"
"b_empl_trsm_major_districts","73",99,"0.970588","स्याङग्जा","Syangja"
"b_empl_trsm_major_districts","74",95,"0.931373","तनहुँ","Tanahu"
"b_empl_trsm_major_districts","75",81,"0.794118","ताप्लेजुंग","Taplejung"
"b_empl_trsm_major_districts","76",98,"0.960784","तेह्रथुम","Terhathum"
"b_empl_trsm_major_districts","77",102,"1","उदयपुर","Udayapur"
"b_empl_occpatn_pre_covid","1",102,"1","पसले (पसलमा काम गर्ने)",NA
"b_empl_occpatn_pre_covid","2",90,"0.882353","टूर गाईड",NA
"b_empl_occpatn_pre_covid","3",29,"0.284314","ट्रेकिंग गाईड",NA
"b_empl_occpatn_pre_covid","4",98,"0.960784","राफ्टिंग गाईड",NA
"b_empl_occpatn_pre_covid","5",79,"0.77451","माउन्टेन गाईड",NA
"b_empl_occpatn_pre_covid","6",100,"0.980392","ड्राइभर",NA
"b_empl_occpatn_pre_covid","7",102,"1","ट्राभेल एजेन्ट",NA
"b_empl_occpatn_pre_covid","8",101,"0.990196","फ्लाइट अटेन्डेंट",NA
"b_empl_occpatn_pre_covid","9",102,"1","पाइलट",NA
"b_empl_occpatn_pre_covid","10",101,"0.990196","शेफ / कुक",NA
"b_empl_occpatn_pre_covid","11",102,"1","होटेल म्यानेजर",NA
"b_empl_occpatn_pre_covid","12",101,"0.990196","होटेल स्टाफ",NA
"b_empl_occpatn_pre_covid","13",101,"0.990196","वेटर",NA
"b_empl_occpatn_pre_covid","14",102,"1","बार टेण्डर",NA
"b_empl_occpatn_pre_covid","15",99,"0.970588","पोर्टर (भरिया)",NA
"b_empl_occpatn_pre_covid","16",97,"0.95098","अन्य",NA
